,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
2387,The service is a little scatty at times but all is forgiven when the food arrives.,1,the service is a little scatty at times but all is forgiven when the food arrives,"['the', 'service', 'is', 'a', 'little', 'scatty', 'at', 'times', 'but', 'all', 'is', 'forgiven', 'when', 'the', 'food', 'arrives']",service little scatty time but forgiven food arrives,service little scatty time but forgiven food arrives
2388,And evaluated on those terms Pastis is simply wonderful.,1,and evaluated on those terms pastis is simply wonderful,"['and', 'evaluated', 'on', 'those', 'terms', 'pastis', 'is', 'simply', 'wonderful']",and evaluated term pastis simply wonderful,and evaluated term pastis simply wonderful
2389,The pickles were great addition.,1,the pickles were great addition,"['the', 'pickles', 'were', 'great', 'addition']",pickle great addition,pickle great addition
2390,You must try the shrimp appetizers.,1,you must try the shrimp appetizers,"['you', 'must', 'try', 'the', 'shrimp', 'appetizers']",must try shrimp appetizer,must try shrimp appetizer
2391,"Not only is the cuisine the best around, the service has always been attentive and charming.",1,not only is the cuisine the best around  the service has always been attentive and charming,"['not', 'only', 'is', 'the', 'cuisine', 'the', 'best', 'around', 'the', 'service', 'has', 'always', 'been', 'attentive', 'and', 'charming']",not cuisine best around service always attentive and charming,not cuisine best around service always attentive and charming
2392,"The production is a symphony, alot of fun to experience.The food sublime for the most part.",1,the production is a symphony  alot of fun to experience the food sublime for the most part,"['the', 'production', 'is', 'a', 'symphony', 'alot', 'of', 'fun', 'to', 'experience', 'the', 'food', 'sublime', 'for', 'the', 'most', 'part']",production symphony alot fun experience food sublime part,production symphony alot fun experience food sublime part
2393,"It's like you are transported to the Italian countryside, very romantic and filled with antiques.",1,it's like you are transported to the italian countryside  very romantic and filled with antiques,"[""it's"", 'like', 'you', 'are', 'transported', 'to', 'the', 'italian', 'countryside', 'very', 'romantic', 'and', 'filled', 'with', 'antiques']",like transported italian countryside very romantic and filled antique,like transported italian countryside very romantic and filled antique
2394,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,1,the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan,"['the', 'cold', 'appetizer', 'dishes', 'taste', 'like', 'the', 'way', 'i', 'remember', 'them', 'to', 'taste', 'when', 'i', 'was', 'growing', 'up', 'in', 'taiwan']",cold appetizer dish taste like way remember taste growing taiwan,cold appetizer dish taste like way remember taste growing taiwan
2395,"Interesting selection, good wines, service fine, fun decor.",1,interesting selection  good wines  service fine  fun decor,"['interesting', 'selection', 'good', 'wines', 'service', 'fine', 'fun', 'decor']",interesting selection good wine service fine fun decor,interesting selection good wine service fine fun decor
2396,Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,1,any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar,"['any', 'if', 'you', 'have', 'a', 'reservation', ""you'll"", 'wait', 'for', 'max', '5', 'minutes', '-', 'so', 'have', 'a', 'drink', 'at', 'the', 'bar']",reservation wait max 5 minute - drink bar,reservation wait max 5 minute - drink bar
2397,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",1,whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar  you will surely be transported to northern italy with one bite,"['whether', ""it's"", 'the', 'parmesean', 'porcini', 'souffle', 'or', 'the', 'lamb', 'glazed', 'with', 'balsamic', 'vinegar', 'you', 'will', 'surely', 'be', 'transported', 'to', 'northern', 'italy', 'with', 'one', 'bite']",whether parmesean porcini souffle lamb glazed balsamic vinegar surely transported northern italy one bite,whether parmesean porcini souffle lamb glazed balsamic vinegar surely transported northern italy one bite
2398,That place was awesome!,1,that place was awesome,"['that', 'place', 'was', 'awesome']",place awesome,place awesome
2399,The food at this place is 'gourmet' Indian cuisine.,1,the food at this place is 'gourmet' indian cuisine,"['the', 'food', 'at', 'this', 'place', 'is', ""'gourmet'"", 'indian', 'cuisine']",food place 'gourmet' indian cuisine,food place 'gourmet' indian cuisine
2400,Finally a reliable Chinese restaurant!,1,finally a reliable chinese restaurant,"['finally', 'a', 'reliable', 'chinese', 'restaurant']",finally reliable chinese restaurant,finally reliable chinese restaurant
2401,"However, it just so happens that there's an even more amazing place just down the street.",1,however  it just so happens that there's an even more amazing place just down the street,"['however', 'it', 'just', 'so', 'happens', 'that', ""there's"", 'an', 'even', 'more', 'amazing', 'place', 'just', 'down', 'the', 'street']",however happens even amazing place street,however happens even amazing place street
2402,"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",1,while there are plenty of places to go for a good corned beef sandwich  katz's has a charm about it,"['while', 'there', 'are', 'plenty', 'of', 'places', 'to', 'go', 'for', 'a', 'good', 'corned', 'beef', 'sandwich', ""katz's"", 'has', 'a', 'charm', 'about', 'it']",plenty place go good corned beef sandwich katz's charm,plenty place go good corned beef sandwich katz's charm
2403,"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERFECT",1,however  looking at the table next to ours  we both sort of wished we had ordered pizza  which looked perfect,"['however', 'looking', 'at', 'the', 'table', 'next', 'to', 'ours', 'we', 'both', 'sort', 'of', 'wished', 'we', 'had', 'ordered', 'pizza', 'which', 'looked', 'perfect']",however looking table next sort wished ordered pizza looked perfect,however looking table next sort wished ordered pizza looked perfect
2404,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,1,try the olive cream cheese or the lox spread on a whole wheat everything bagel,"['try', 'the', 'olive', 'cream', 'cheese', 'or', 'the', 'lox', 'spread', 'on', 'a', 'whole', 'wheat', 'everything', 'bagel']",try olive cream cheese lox spread whole wheat everything bagel,try olive cream cheese lox spread whole wheat everything bagel
2405,"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",1,while it's not nobu  it sure is a great deal and you definitely will leave feeling satisfied and full,"['while', ""it's"", 'not', 'nobu', 'it', 'sure', 'is', 'a', 'great', 'deal', 'and', 'you', 'definitely', 'will', 'leave', 'feeling', 'satisfied', 'and', 'full']",not nobu sure great deal and definitely leave feeling satisfied and full,not nobu sure great deal and definitely leave feeling satisfied and full
2406,"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",1,they didn't disappoint  service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table,"['they', ""didn't"", 'disappoint', 'service', 'from', 'the', 'second', 'i', 'arrived', 'at', 'the', 'door', 'was', 'extremely', 'pleasant', 'and', 'attentive', 'with', 'almost', 'one', 'server', 'per', 'table']",not disappoint service second arrived door extremely pleasant and attentive almost one server per table,not disappoint service second arrived door extremely pleasant and attentive almost one server per table
2407,The rice to fish ration was also good--they didn't try to overpack the rice.,1,the rice to fish ration was also good--they didn't try to overpack the rice,"['the', 'rice', 'to', 'fish', 'ration', 'was', 'also', 'good--they', ""didn't"", 'try', 'to', 'overpack', 'the', 'rice']",rice fish ration also good--they not try overpack rice,rice fish ration also good--they not try overpack rice
2408,The food is great and they have a good selecion of wines at reasonable prices.,1,the food is great and they have a good selecion of wines at reasonable prices,"['the', 'food', 'is', 'great', 'and', 'they', 'have', 'a', 'good', 'selecion', 'of', 'wines', 'at', 'reasonable', 'prices']",food great and good selecion wine reasonable price,food great and good selecion wine reasonable price
2409,Eating at Ottimo is like eating in heaven,1,eating at ottimo is like eating in heaven,"['eating', 'at', 'ottimo', 'is', 'like', 'eating', 'in', 'heaven']",eating ottimo like eating heaven,eating ottimo like eating heaven
2410,Katz's deli is a great experience.,1,katz's deli is a great experience,"[""katz's"", 'deli', 'is', 'a', 'great', 'experience']",katz's deli great experience,katz's deli great experience
2411,"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",1,the only positive was the wait staff  which was prompt  knowledgable  and likeable,"['the', 'only', 'positive', 'was', 'the', 'wait', 'staff', 'which', 'was', 'prompt', 'knowledgable', 'and', 'likeable']",positive wait staff prompt knowledgable and likeable,positive wait staff prompt knowledgable and likeable
2412,I couldn't reccommend their Godmother pizza any higher.,1,i couldn't reccommend their godmother pizza any higher,"['i', ""couldn't"", 'reccommend', 'their', 'godmother', 'pizza', 'any', 'higher']",could not reccommend godmother pizza higher,could not reccommend godmother pizza higher
2413,"I am not a vegetarian but, almost all the dishes were great.",1,i am not a vegetarian but  almost all the dishes were great,"['i', 'am', 'not', 'a', 'vegetarian', 'but', 'almost', 'all', 'the', 'dishes', 'were', 'great']",not vegetarian but almost dish great,not vegetarian but almost dish great
2414,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,1,i was very impressed by this low-key upper eastsider and their authentically thai cuisine,"['i', 'was', 'very', 'impressed', 'by', 'this', 'low-key', 'upper', 'eastsider', 'and', 'their', 'authentically', 'thai', 'cuisine']",very impressed low-key upper eastsider and authentically thai cuisine,very impressed low-key upper eastsider and authentically thai cuisine
2415,i would go again if i didn't have to pay.,1,i would go again if i didn't have to pay,"['i', 'would', 'go', 'again', 'if', 'i', ""didn't"", 'have', 'to', 'pay']",would go not pay,would go not pay
2416,"For the location, the prices are very reasonable.",1,for the location  the prices are very reasonable,"['for', 'the', 'location', 'the', 'prices', 'are', 'very', 'reasonable']",location price very reasonable,location price very reasonable
2417,I would like to return and try some of the other menu items when I don't have to rush off to a show.,1,i would like to return and try some of the other menu items when i don't have to rush off to a show,"['i', 'would', 'like', 'to', 'return', 'and', 'try', 'some', 'of', 'the', 'other', 'menu', 'items', 'when', 'i', ""don't"", 'have', 'to', 'rush', 'off', 'to', 'a', 'show']",would like return and try menu item not rush show,would like return and try menu item not rush show
2418,"We have been to this place many times, and always have great food, wine, and service.",1,we have been to this place many times  and always have great food  wine  and service,"['we', 'have', 'been', 'to', 'this', 'place', 'many', 'times', 'and', 'always', 'have', 'great', 'food', 'wine', 'and', 'service']",place many time and always great food wine and service,place many time and always great food wine and service
2419,"Hopefully next time, I will save room for dessert.",1,hopefully next time  i will save room for dessert,"['hopefully', 'next', 'time', 'i', 'will', 'save', 'room', 'for', 'dessert']",hopefully next time save room dessert,hopefully next time save room dessert
2420,"Alain Ducasse is the best of everything, I mean everything was excellent",1,alain ducasse is the best of everything  i mean everything was excellent,"['alain', 'ducasse', 'is', 'the', 'best', 'of', 'everything', 'i', 'mean', 'everything', 'was', 'excellent']",alain ducasse best everything mean everything excellent,alain ducasse best everything mean everything excellent
2421,"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",1,not a typical pizza joint  but good for a low key and fairly cheap nice sit down dinner,"['not', 'a', 'typical', 'pizza', 'joint', 'but', 'good', 'for', 'a', 'low', 'key', 'and', 'fairly', 'cheap', 'nice', 'sit', 'down', 'dinner']",not typical pizza joint but good low key and fairly cheap nice sit dinner,not typical pizza joint but good low key and fairly cheap nice sit dinner
2422,The corned beef was tender and melted in my mouth.,1,the corned beef was tender and melted in my mouth,"['the', 'corned', 'beef', 'was', 'tender', 'and', 'melted', 'in', 'my', 'mouth']",corned beef tender and melted mouth,corned beef tender and melted mouth
2423,GO HERE.,1,go here,"['go', 'here']",go,go
2424,"The best Chicken pad tai, I've ever had.",1,the best chicken pad tai  i've ever had,"['the', 'best', 'chicken', 'pad', 'tai', ""i've"", 'ever', 'had']",best chicken pad tai I ever,best chicken pad tai I ever
2425,$20 for all you can eat sushi cannot be beaten.,1,$20 for all you can eat sushi cannot be beaten,"['$20', 'for', 'all', 'you', 'can', 'eat', 'sushi', 'cannot', 'be', 'beaten']",$20 eat sushi cannot beaten,$20 eat sushi cannot beaten
2426,It has been my first choice ever since I discovered it .,1,it has been my first choice ever since i discovered it,"['it', 'has', 'been', 'my', 'first', 'choice', 'ever', 'since', 'i', 'discovered', 'it']",first choice ever since discovered,first choice ever since discovered
2427,Over 100 different choices to create your own.,1,over 100 different choices to create your own,"['over', '100', 'different', 'choices', 'to', 'create', 'your', 'own']",100 different choice create,100 different choice create
2428,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",1,haru serves very fresh fish  has a trendy  modern ambiance  prime location on park avenue south and friendly service,"['haru', 'serves', 'very', 'fresh', 'fish', 'has', 'a', 'trendy', 'modern', 'ambiance', 'prime', 'location', 'on', 'park', 'avenue', 'south', 'and', 'friendly', 'service']",haru serf very fresh fish trendy modern ambiance prime location park avenue south and friendly service,haru serf very fresh fish trendy modern ambiance prime location park avenue south and friendly service
2429,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,1,warm and friendly in the winter and terrific outdoor seating in the warmer months,"['warm', 'and', 'friendly', 'in', 'the', 'winter', 'and', 'terrific', 'outdoor', 'seating', 'in', 'the', 'warmer', 'months']",warm and friendly winter and terrific outdoor seating warmer month,warm and friendly winter and terrific outdoor seating warmer month
2430,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",1,very romantic fires - i've literally spent hours at lanterna  drinking wine from their extensive wine and enjoying the ambience,"['very', 'romantic', 'fires', '-', ""i've"", 'literally', 'spent', 'hours', 'at', 'lanterna', 'drinking', 'wine', 'from', 'their', 'extensive', 'wine', 'and', 'enjoying', 'the', 'ambience']",very romantic fire - I literally spent hour lanterna drinking wine extensive wine and enjoying ambience,very romantic fire - I literally spent hour lanterna drinking wine extensive wine and enjoying ambience
2431,We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,1,we got a little tipsy from the sake but isn't that what saturday nights with the girlfriends are all about?,"['we', 'got', 'a', 'little', 'tipsy', 'from', 'the', 'sake', 'but', ""isn't"", 'that', 'what', 'saturday', 'nights', 'with', 'the', 'girlfriends', 'are', 'all', 'about?']",got little tipsy sake but not saturday night girlfriend about?,got little tipsy sake but not saturday night girlfriend about?
2432,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!",1,i almost wanted to write a bad review  so no one would ever go here and i could have all the dumplings to myself,"['i', 'almost', 'wanted', 'to', 'write', 'a', 'bad', 'review', 'so', 'no', 'one', 'would', 'ever', 'go', 'here', 'and', 'i', 'could', 'have', 'all', 'the', 'dumplings', 'to', 'myself']",almost wanted write bad review no one would ever go and could dumpling,almost wanted write bad review no one would ever go and could dumpling
2433,I loved it and will be back soon.,1,i loved it and will be back soon,"['i', 'loved', 'it', 'and', 'will', 'be', 'back', 'soon']",loved and back soon,loved and back soon
2434,"Always a nice crowd, but never loud.",1,always a nice crowd  but never loud,"['always', 'a', 'nice', 'crowd', 'but', 'never', 'loud']",always nice crowd but never loud,always nice crowd but never loud
2435,Decor is minimalist and clean - nothing to distract or commend.,1,decor is minimalist and clean - nothing to distract or commend,"['decor', 'is', 'minimalist', 'and', 'clean', '-', 'nothing', 'to', 'distract', 'or', 'commend']",decor minimalist and clean - nothing distract commend,decor minimalist and clean - nothing distract commend
2436,"His drinks are very inventive, delicious and classy.",1,his drinks are very inventive  delicious and classy,"['his', 'drinks', 'are', 'very', 'inventive', 'delicious', 'and', 'classy']",drink very inventive delicious and classy,drink very inventive delicious and classy
2437,"Great food, great prices, great service.",1,great food  great prices  great service,"['great', 'food', 'great', 'prices', 'great', 'service']",great food great price great service,great food great price great service
2438,Awesome Pizza especially the Margheritta slice.,1,awesome pizza especially the margheritta slice,"['awesome', 'pizza', 'especially', 'the', 'margheritta', 'slice']",awesome pizza especially margheritta slice,awesome pizza especially margheritta slice
2439,"My husband and I ate here after reading reviews here as well as hobokeni.com,",1,my husband and i ate here after reading reviews here as well as hobokeni com,"['my', 'husband', 'and', 'i', 'ate', 'here', 'after', 'reading', 'reviews', 'here', 'as', 'well', 'as', 'hobokeni', 'com']",husband and ate reading review well hobokeni com,husband and ate reading review well hobokeni com
2440,"Try ordering from the regular menu, then you would not regret!",1,try ordering from the regular menu  then you would not regret,"['try', 'ordering', 'from', 'the', 'regular', 'menu', 'then', 'you', 'would', 'not', 'regret']",try ordering regular menu would not regret,try ordering regular menu would not regret
2441,"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.",1,uni from maine vs california  sea vs freshwater eel) to get a good taste comparison,"['uni', 'from', 'maine', 'vs', 'california', 'sea', 'vs', 'freshwater', 'eel)', 'to', 'get', 'a', 'good', 'taste', 'comparison']",uni maine v california sea v freshwater eel) get good taste comparison,uni maine v california sea v freshwater eel) get good taste comparison
2442,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",1,we started with lox and mussels (the best ive ever had  ever) and had the cod and trout for dinner,"['we', 'started', 'with', 'lox', 'and', 'mussels', '(the', 'best', 'ive', 'ever', 'had', 'ever)', 'and', 'had', 'the', 'cod', 'and', 'trout', 'for', 'dinner']",started lox and mussel (the best ive ever ever) and cod and trout dinner,started lox and mussel (the best ive ever ever) and cod and trout dinner
2443,JUST AWESOME.,1,just awesome,"['just', 'awesome']",awesome,awesome
2444,Food is great.,1,food is great,"['food', 'is', 'great']",food great,food great
2445,There is a lot of variety even for people who eat vegetarian like me.,1,there is a lot of variety even for people who eat vegetarian like me,"['there', 'is', 'a', 'lot', 'of', 'variety', 'even', 'for', 'people', 'who', 'eat', 'vegetarian', 'like', 'me']",lot variety even people eat vegetarian like,lot variety even people eat vegetarian like
2446,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,1,i recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal,"['i', 'recommend', 'the', 'meatballs', 'and', 'caprese', 'salad', 'and', 'the', 'beans', 'on', 'toast', 'were', 'a', 'wonderful', 'start', 'to', 'the', 'meal']",recommend meatball and caprese salad and bean toast wonderful start meal,recommend meatball and caprese salad and bean toast wonderful start meal
2447,"I will definetely go back again and again, that's for sure!!!",1,i will definetely go back again and again  that's for sure,"['i', 'will', 'definetely', 'go', 'back', 'again', 'and', 'again', ""that's"", 'for', 'sure']",definetely go back and sure,definetely go back and sure
2448,"I didn't complain, I liked the atmosphere so much.",1,i didn't complain  i liked the atmosphere so much,"['i', ""didn't"", 'complain', 'i', 'liked', 'the', 'atmosphere', 'so', 'much']",not complain liked atmosphere much,not complain liked atmosphere much
2449,This is one of our all-time favorite.,1,this is one of our all-time favorite,"['this', 'is', 'one', 'of', 'our', 'all-time', 'favorite']",one all-time favorite,one all-time favorite
2450,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,1,in reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby,"['in', 'reality', '(to', 'maximize', 'potential', 'diners)', 'they', 'were', 'still', 'taking', 'phone', 'reservations', 'and', 'reallocating', 'tables', 'of', 'those', 'waiting', 'in', 'the', 'lobby']",reality (to maximize potential diners) still taking phone reservation and reallocating table waiting lobby,reality (to maximize potential diners) still taking phone reservation and reallocating table waiting lobby
2451,"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",1,the wine is always good  the tapas are always yummy  especially with the warm pita bread,"['the', 'wine', 'is', 'always', 'good', 'the', 'tapas', 'are', 'always', 'yummy', 'especially', 'with', 'the', 'warm', 'pita', 'bread']",wine always good tapa always yummy especially warm pita bread,wine always good tapa always yummy especially warm pita bread
2452,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",1,but when you are seated the waitresses are great  they explain everything on the menu  and the price of the food is really cheap for the service you get,"['but', 'when', 'you', 'are', 'seated', 'the', 'waitresses', 'are', 'great', 'they', 'explain', 'everything', 'on', 'the', 'menu', 'and', 'the', 'price', 'of', 'the', 'food', 'is', 'really', 'cheap', 'for', 'the', 'service', 'you', 'get']",but seated waitress great explain everything menu and price food really cheap service get,but seated waitress great explain everything menu and price food really cheap service get
2453,"Compared to other shabu restaurants around town, this places wins hands-down.",1,compared to other shabu restaurants around town  this places wins hands-down,"['compared', 'to', 'other', 'shabu', 'restaurants', 'around', 'town', 'this', 'places', 'wins', 'hands-down']",compared shabu restaurant around town place win hands-down,compared shabu restaurant around town place win hands-down
2454,I love this place.,1,i love this place,"['i', 'love', 'this', 'place']",love place,love place
2455,"The freshest, best variety, and the fastest delivery.",1,the freshest  best variety  and the fastest delivery,"['the', 'freshest', 'best', 'variety', 'and', 'the', 'fastest', 'delivery']",freshest best variety and fastest delivery,freshest best variety and fastest delivery
2456,Go to Volare for 1st class service and terrific food.,1,go to volare for 1st class service and terrific food,"['go', 'to', 'volare', 'for', '1st', 'class', 'service', 'and', 'terrific', 'food']",go volare 1st class service and terrific food,go volare 1st class service and terrific food
2457,Dinner took almost 4 hours without any lag time.,1,dinner took almost 4 hours without any lag time,"['dinner', 'took', 'almost', '4', 'hours', 'without', 'any', 'lag', 'time']",dinner took almost 4 hour without lag time,dinner took almost 4 hour without lag time
2458,Price no more than a Jersey deli but way better.,1,price no more than a jersey deli but way better,"['price', 'no', 'more', 'than', 'a', 'jersey', 'deli', 'but', 'way', 'better']",price no jersey deli but way better,price no jersey deli but way better
2459,The fried rice is really good too.,1,the fried rice is really good too,"['the', 'fried', 'rice', 'is', 'really', 'good', 'too']",fried rice really good,fried rice really good
2460,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.,1,we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections,"['we', 'were', 'well', 'attended', 'to', 'by', 'the', 'enthusiastic', 'staff', 'especially', 'the', 'manager', 'tony', 'gaskin', 'who', 'made', 'excellent', 'suggestions', 'for', 'our', 'menu', 'selections']",well attended enthusiastic staff especially manager tony gaskin made excellent suggestion menu selection,well attended enthusiastic staff especially manager tony gaskin made excellent suggestion menu selection
2461,It's a steal!,1,it's a steal,"[""it's"", 'a', 'steal']",steal,steal
2462,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,1,i was with a party of 7 (close but not next the the front doors) and we were eating with our coats on,"['i', 'was', 'with', 'a', 'party', 'of', '7', '(close', 'but', 'not', 'next', 'the', 'the', 'front', 'doors)', 'and', 'we', 'were', 'eating', 'with', 'our', 'coats', 'on']",party 7 (close but not next front doors) and eating coat,party 7 (close but not next front doors) and eating coat
2463,"A very inviting restaurant, with friendly service.",1,a very inviting restaurant  with friendly service,"['a', 'very', 'inviting', 'restaurant', 'with', 'friendly', 'service']",very inviting restaurant friendly service,very inviting restaurant friendly service
2464,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",1,the back garden sitting area is very pleasant  where you can see their personal herb garden,"['the', 'back', 'garden', 'sitting', 'area', 'is', 'very', 'pleasant', 'where', 'you', 'can', 'see', 'their', 'personal', 'herb', 'garden']",back garden sitting area very pleasant see personal herb garden,back garden sitting area very pleasant see personal herb garden
2465,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.",1,good french restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at katz' deli  or mexican food which is supplied by capable restaurants,"['good', 'french', 'restaurant', 'in', 'an', 'area', 'devoid', 'of', 'decent', 'restaurants', 'unless', ""you're"", 'into', 'eating', '4', 'pound', 'pastrami', 'sandwiches', 'at', ""katz'"", 'deli', 'or', 'mexican', 'food', 'which', 'is', 'supplied', 'by', 'capable', 'restaurants']",good french restaurant area devoid decent restaurant unless eating 4 pound pastrami sandwich katz' deli mexican food supplied capable restaurant,good french restaurant area devoid decent restaurant unless eating 4 pound pastrami sandwich katz' deli mexican food supplied capable restaurant
2466,The drinks are always welll made and wine selection is fairly priced.,1,the drinks are always welll made and wine selection is fairly priced,"['the', 'drinks', 'are', 'always', 'welll', 'made', 'and', 'wine', 'selection', 'is', 'fairly', 'priced']",drink always welll made and wine selection fairly priced,drink always welll made and wine selection fairly priced
2467,We also had shared a house salad that was fresh.,1,we also had shared a house salad that was fresh,"['we', 'also', 'had', 'shared', 'a', 'house', 'salad', 'that', 'was', 'fresh']",also shared house salad fresh,also shared house salad fresh
2468,The ceiling is amazing!,1,the ceiling is amazing,"['the', 'ceiling', 'is', 'amazing']",ceiling amazing,ceiling amazing
2469,My wife and I were in NYC celebrating our 30th anniversary.,1,my wife and i were in nyc celebrating our 30th anniversary,"['my', 'wife', 'and', 'i', 'were', 'in', 'nyc', 'celebrating', 'our', '30th', 'anniversary']",wife and nyc celebrating 30th anniversary,wife and nyc celebrating 30th anniversary
2470,I'm glad I was introduced to this place and this is a rare gem in NY.,1,i'm glad i was introduced to this place and this is a rare gem in ny,"[""i'm"", 'glad', 'i', 'was', 'introduced', 'to', 'this', 'place', 'and', 'this', 'is', 'a', 'rare', 'gem', 'in', 'ny']",I glad introduced place and rare gem ny,I glad introduced place and rare gem ny
2471,Not a small feat for good french food in the area.,1,not a small feat for good french food in the area,"['not', 'a', 'small', 'feat', 'for', 'good', 'french', 'food', 'in', 'the', 'area']",not small feat good french food area,not small feat good french food area
2472,We came from New Jersey to eat the burger,1,we came from new jersey to eat the burger,"['we', 'came', 'from', 'new', 'jersey', 'to', 'eat', 'the', 'burger']",came new jersey eat burger,came new jersey eat burger
2473,Big Wong gets big Ups for a fine establishment.,1,big wong gets big ups for a fine establishment,"['big', 'wong', 'gets', 'big', 'ups', 'for', 'a', 'fine', 'establishment']",big wong get big ups fine establishment,big wong get big ups fine establishment
2474,I highly recommend it.,1,i highly recommend it,"['i', 'highly', 'recommend', 'it']",highly recommend,highly recommend
2475,The staff was the friendliest that have seen in New York.,1,the staff was the friendliest that have seen in new york,"['the', 'staff', 'was', 'the', 'friendliest', 'that', 'have', 'seen', 'in', 'new', 'york']",staff friendliest seen new york,staff friendliest seen new york
2476,Delicious food at a great price but do not go here on a cold day and sit by the front door.,1,delicious food at a great price but do not go here on a cold day and sit by the front door,"['delicious', 'food', 'at', 'a', 'great', 'price', 'but', 'do', 'not', 'go', 'here', 'on', 'a', 'cold', 'day', 'and', 'sit', 'by', 'the', 'front', 'door']",delicious food great price but not go cold day and sit front door,delicious food great price but not go cold day and sit front door
2477,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",1,my picks: guizhou chicken  fish with hot bean source  fish fillet in spicy source (special menu),"['my', 'picks:', 'guizhou', 'chicken', 'fish', 'with', 'hot', 'bean', 'source', 'fish', 'fillet', 'in', 'spicy', 'source', '(special', 'menu)']",picks: guizhou chicken fish hot bean source fish fillet spicy source (special menu),picks: guizhou chicken fish hot bean source fish fillet spicy source (special menu)
2478,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.",1,overall  i'm still impressed that the place even exists and the prices are quite decent but then again  its chinatown,"['overall', ""i'm"", 'still', 'impressed', 'that', 'the', 'place', 'even', 'exists', 'and', 'the', 'prices', 'are', 'quite', 'decent', 'but', 'then', 'again', 'its', 'chinatown']",overall I still impressed place even exists and price quite decent but chinatown,overall I still impressed place even exists and price quite decent but chinatown
2479,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",1,admittedly some nights inside the restaurant were rather warm  but the open kitchen is part of the charm,"['admittedly', 'some', 'nights', 'inside', 'the', 'restaurant', 'were', 'rather', 'warm', 'but', 'the', 'open', 'kitchen', 'is', 'part', 'of', 'the', 'charm']",admittedly night inside restaurant rather warm but open kitchen part charm,admittedly night inside restaurant rather warm but open kitchen part charm
2480,My six year old loved it.,1,my six year old loved it,"['my', 'six', 'year', 'old', 'loved', 'it']",six year old loved,six year old loved
2481,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",1,the food inludes famous scrumptious bombay style chaat such as bhelpuri  sevpuri and samosa chaats  as well as other great indian appetizers,"['the', 'food', 'inludes', 'famous', 'scrumptious', 'bombay', 'style', 'chaat', 'such', 'as', 'bhelpuri', 'sevpuri', 'and', 'samosa', 'chaats', 'as', 'well', 'as', 'other', 'great', 'indian', 'appetizers']",food inludes famous scrumptious bombay style chaat bhelpuri sevpuri and samosa chaats well great indian appetizer,food inludes famous scrumptious bombay style chaat bhelpuri sevpuri and samosa chaats well great indian appetizer
